title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Senior Backend Tech Lead,PingPong Payments,"The City, Central London","We founded PingPong in New York in 2015, with the goal of solving the immense challenge of demystifying international payments. Fast forward to 2024, and we’ve become one of the world’s leading global cross-border payments platforms, with over 1 million customers and processing more than $200 billion USD. Our API-first embedded finance platform integrates with enterprises to send, manage, and receive money faster on a global scale. We have more than a thousand world-class colleagues in 30 offic…",77251.66,77251.66,,2025-04-02T16:17:26Z,https://www.adzuna.co.uk/jobs/land/ad/5124370382?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=F95B467230FDE84F9FCA631EDBE41A0C8CBB4733,Accounting & Finance Jobs,backend
Backend Engineer - Up to £70k,Few&Far,"London, UK","Backend Engineer (JVM) in a B2B FinTech Startup  £60,000 - £70,000  Equity  Benefits 1-day a week in the office, Central London Join a B2B FinTech startup backed by a global bank, that is transforming the financial advisory space They’ve created a unified, scalable, AI-driven platform that’s moving the industry away from using outdated data storage and communication systems like spreadsheets The Role You will work directly with and learn from a Staff Engineer and CTO, being instrumental in desi…",104487.8,104487.8,,2025-04-05T07:37:25Z,https://www.adzuna.co.uk/jobs/land/ad/5130857425?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=B9FEAD343476C51F4CB6C49E80D3C7F7FA971BCB,IT Jobs,backend
Senior Backend/Cloud Engineer,Mitra bio,"London, UK","About Mitra bio We are a seed-stage company backed by Khosla Ventures, Illumina, Innovate UK as well as ex-founders from Rodan & Fields (Unicorn skincare brand), Wayve (self-driving cars) and CoverWallet. We are a team of young innovators and scientists headquartered in London. Mitra bio is disrupting the skincare industry through data. Mitra is developing a skin longevity platform powered by non-invasive sampling and epigenetics to enhance diagnostics and personalized treatments for the skin. …",63389.2,63389.2,,2025-04-12T05:07:32Z,https://www.adzuna.co.uk/jobs/land/ad/5141658734?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=720B97430A814FF4D404EFA59238B9873807ACA9,IT Jobs,backend
Senior Backend/Platform Developer,Bauer Media Group,UK,"Senior Backend/Platform Developer Remote | Permanent | Full-Time Lead. Innovate. Inspire. Bauer Media Audio is looking for a Senior Backend/Platform Developer to play a key role in transforming digital audio experiences. If you’re a hands-on developer with a passion for high-performance back-end systems, mentoring, and DevOps excellence , this is your chance to shine  What You’ll Do  Lead and mentor engineers , fostering a high-performing, collaborative team.  Build and optimise scalable, secur…",30214.56,30214.56,permanent,2025-04-11T04:29:13Z,https://www.adzuna.co.uk/jobs/land/ad/5139963975?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4635F31893F0048EDEB213C5954E2C8F0F0EC948,IT Jobs,backend
Lead Backend Developer Node - Finance,Client Server,"London, UK","Lead Backend Developer / Engineer (Node API JavaScript CFA) London / WFH to £120k Are you a lead technologist with strong financial services experience combined with Node.js backend development expertise? You could be progressing your career in a hands-on leadership role at a global cryptocurrency market data and trade execution technology company that is experiencing great success and is growing as a result. As a Lead Backend Developer you will take ownership of designing, building and maintai…",73284.38,73284.38,,2025-04-04T07:19:06Z,https://www.adzuna.co.uk/jobs/land/ad/5128731474?se=7Cu9ozAe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=5CA54E28E36B2182CA877837942836E4079DEF9D,IT Jobs,backend
Backend Engineer,Blink - The Employee App,"London, UK","Blink is an employee app for frontline workers, with industry-leading engagement and a DAU of 99%. We’re dedicated to scaling our platform through precision, automation, and innovation. As part of a world-class engineering team, you’ll play a key role in shaping the future of how we support frontline workers.  What will you be doing? As a Backend Engineer at Blink, you will work within a cross-functional squad alongside developers, designers, and product managers to build and enhance our platfo…",60418.37,60418.37,,2025-02-17T17:02:55Z,https://www.adzuna.co.uk/jobs/details/5053972586?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend Engineer,Depop,UK,"Company Description Depop is the community-powered circular fashion marketplace where anyone can buy, sell and discover desirable secondhand fashion. With a community of over 35 million users, Depop is on a mission to make fashion circular, redefining fashion consumption. Founded in 2011, the company is headquartered in London, with offices in New York and Manchester, and in 2021 became a wholly-owned subsidiary of Etsy. Find out more at www.depop.com Our mission is to make fashion circular and…",58010.21,58010.21,,2025-03-18T17:03:14Z,https://www.adzuna.co.uk/jobs/details/5099183567?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend Engineer,Midnite,UK,"Salary: £60,000 - £80,000 Why Midnite? Midnite is a next-generation betting platform that is built for today’s fandom. We are a collective of engineers and designers who all share a passion for building the best sportsbook & casino experience possible, allowing our fans to feel closer to the games they love through the rush of winning money. Unlike the alternatives, Midnite doesn't feel like a website built two decades ago. Instead, it's a cutting-edge creation, designed and constructed from th…",60000,80000,,2024-11-26T10:34:31Z,https://www.adzuna.co.uk/jobs/details/4951625875?utm_medium=api&utm_source=e1ad5111,Engineering Jobs,backend
Backend Engineer,Zego,"London, UK","About us At Zego, we know that traditional motor insurance holds good drivers back. It’s too complicated, too expensive, and it doesn't take into account how well you actually drive. That’s why, since 2016, we’ve been on a mission to change all of that. Our mission at Zego is to offer the lowest priced insurance for good drivers. From van drivers and gig workers to everyday car drivers, our customers are our driving force — they’re at the heart of everything we do. We’ve sold tens of millions o…",37041.79,37041.79,,2025-01-22T18:17:43Z,https://www.adzuna.co.uk/jobs/details/5020050899?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
Backend Engineer,AJ Bell,"Manchester, Greater Manchester","Job Description We are recruiting a Backend Engineer within our Enterprise Architecture team to help us build event-driven solutions and democratise data access across our technology teams. Your first task will be to become proficient in cloud-native data and event streaming solutions. The next challenge for our team is to safely replace legacy workflows with event-driven architecture. You will join a vibrant Enterprise Architecture team, collaborating with Platform Engineers, Architects and Ag…",74099.16,74099.16,,2025-04-17T02:18:18Z,https://www.adzuna.co.uk/jobs/details/5148601023?utm_medium=api&utm_source=e1ad5111,IT Jobs,backend
