title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,country,specialty
Administrateur Contrats - Construction H/F,NEO2,"Mormant, Melun","Préparation et diffusion du compte rendu de la réunion de lancement avec les entreprises de construction.  Gestion administrative des contrats de construction, supervision du classement des différents courriers relatifs aux contrats de construction, préparation des réponses à toute correspondance des entreprises de construction, à la demande du gestionnaire de contrat/chef de projet.  Analyse et vérification de la validité contractuelle de tous les justificatifs fournis par les entreprises de …",45000,60000,,2025-04-09T06:02:34Z,https://www.adzuna.fr/details/5136636603?utm_medium=api&utm_source=e1ad5111,Emplois Informatique,fr,genie_civil_btp
Dessinateur Construction Bois H/F,G2RH,"Gétigné, Clisson","Noelène BRUNET, Consultante pour le cabinet de recrutement G2RH, recrute un Dessinateur ou une Dessinatrice expérimenté-e dans le secteur de la construction bois, pour un bureau d'études spécialisé en structures Bois, Béton et Métal basé dans le vignoble nantais (44). Notre partenaire, historiquement implanté en Loire-Atlantique et présent sur le grand ouest grâce à ses 4 agences, est reconnu pour son expertise en étude de projets de construction ou rénovation de bâtiments divers (bâtiments ind…",32000,38000,,2025-04-18T05:27:59Z,https://www.adzuna.fr/land/ad/5150978444?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=7E8E797D20761FAF8BFCFAB5511F378B01ACD37D,Unknown,fr,genie_civil_btp
Dessinateur en Constructions Métalliques H/F,Manpower,"La Force, Bergerac","Cette entreprise familiale spécialisée dans la construction métallique, est à la recherche d'un Dessinateur en Bureau d'Études H/F pour rejoindre son équipe à Gardonne. Reconnus pour leur proximité avec les clients, leur expertise, leur quête constante d'excellence, ils ont besoin d'agrandir l'équipe. Si vous partagez ces valeurs et avez une expérience solide en structures métalliques, nous serions ravis d'étudier votre candidature. Rattaché(e) au Directeur Technique et au sein d'une équipe plu…",35000,37000,,2025-04-18T05:27:59Z,https://www.adzuna.fr/land/ad/5150978407?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=79202019B8AD11696492A0F0D1F3BEFD5414DADF,Unknown,fr,genie_civil_btp
Commercial Sedentaire - Matériaux de Construction H/F,LITT,"Malzéville, Nancy","Rattaché(e) au Responsable d'Agence, vous participez à l'atteinte des objectifs commerciaux de l'agence, en support de l'équipe commerciale terrain. Vous êtes l'interlocuteur/trice du client en agence et vous mettez tout en oeuvre pour lui assurer le meilleur service. A ce titre, vous principales missions sont les suivantes : - Accueillir et renseigner les clients par téléphone ou en agence sur le plan technique, la disponibilité des produits et délais de livraison, les prix - Réaliser des vent…",23000,26000,,2025-03-06T05:33:38Z,https://www.adzuna.fr/land/ad/5078534592?se=wDCr8i4e8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=8CD35FF981ADE06715FEE3064676FAEB0D2DDC46,Unknown,fr,genie_civil_btp
Economiste de la construction F/H,AIA Life Designers,"Rhône, Auvergne-Rhône-Alpes","QUI NOUS SOMMES? Chaque projet développé par AIA Life Designers est un engagement à proposer des solutions architecturales innovantes, soutenues par une réflexion constante des équipes lors de nos ateliers d'excellence (Santé, Enseignement, Mixité urbaine, Ville Ressource). Pour penser l'avenir de nos villes et concevoir des ouvrages qui contribueront à la santé et au bien-être des populations futures. AIA Life Designers se classe parmi les plus importants cabinets d'architecture de France. Nou…",45000,45000,permanent,2025-04-20T04:05:45Z,https://www.adzuna.fr/land/ad/5154063771?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=A7A5DE872115D4FD1491700E63DD5BE42638BB53,Unknown,fr,genie_civil_btp
Economiste de la construction F/H,AIA Life Designers,"1er-Arrondissement, Lyon","QUI NOUS SOMMES? Chaque projet développé par AIA Life Designers est un engagement à proposer des solutions architecturales innovantes, soutenues par une réflexion constante des équipes lors de nos ateliers d'excellence (Santé, Enseignement, Mixité urbaine, Ville Ressource). Pour penser l'avenir de nos villes et concevoir des ouvrages qui contribueront à la santé et au bien-être des populations futures. AIA Life Designers se classe parmi les plus importants cabinets d'architecture de France. Nou…",45000,45000,permanent,2025-04-20T04:05:45Z,https://www.adzuna.fr/land/ad/5154063774?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=FD27D23D12231BD2A95CA32357F89323EACFAF96,Unknown,fr,genie_civil_btp
Souscripteur construction H/F,GAN ASSURANCE,"Bezons, Argenteuil","Filiale du groupe Groupama depuis 1998, Gan Assurances est un assureur généraliste qui propose aux particuliers, professionnels et entreprises une offre complète adaptée aux besoins en auto, habitation, santé, prévoyance, épargne, retraite, placements, garanties professionnelles. Au service de 1,4 million de clients, Gan Assurances constitue le 5e réseau français d'Agents généraux en France, grâce à ses 830 Agents généraux et 2100 collaborateurs d'agence, soutenus par 1650 salariés répartis sur…",,,permanent,2025-04-17T19:45:24Z,https://www.adzuna.fr/land/ad/5150126363?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=24E5984B99266496003C1BBB8B037A62099CEC6E,Unknown,fr,genie_civil_btp
Souscripteur construction H/F,GAN ASSURANCE,"La Défense, Courbevoie","Filiale du groupe Groupama depuis 1998, Gan Assurances est un assureur généraliste qui propose aux particuliers, professionnels et entreprises une offre complète adaptée aux besoins en auto, habitation, santé, prévoyance, épargne, retraite, placements, garanties professionnelles. Au service de 1,4 million de clients, Gan Assurances constitue le 5e réseau français d'Agents généraux en France, grâce à ses 830 Agents généraux et 2100 collaborateurs d'agence, soutenus par 1650 salariés répartis sur…",,,permanent,2025-04-17T19:45:24Z,https://www.adzuna.fr/land/ad/5150126304?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=DB98275C1C8F6FE160AE51BBD2EA967447520C3C,Unknown,fr,genie_civil_btp
Souscripteur construction H/F,GAN ASSURANCE,"Houilles, Saint-Germain-en-Laye","Filiale du groupe Groupama depuis 1998, Gan Assurances est un assureur généraliste qui propose aux particuliers, professionnels et entreprises une offre complète adaptée aux besoins en auto, habitation, santé, prévoyance, épargne, retraite, placements, garanties professionnelles. Au service de 1,4 million de clients, Gan Assurances constitue le 5e réseau français d'Agents généraux en France, grâce à ses 830 Agents généraux et 2100 collaborateurs d'agence, soutenus par 1650 salariés répartis sur…",,,permanent,2025-04-17T19:45:24Z,https://www.adzuna.fr/land/ad/5150126357?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=08522F9B7856294ACB0305B7C401264B11154395,Unknown,fr,genie_civil_btp
Souscripteur construction H/F,GAN ASSURANCE,"Chatou, Saint-Germain-en-Laye","Filiale du groupe Groupama depuis 1998, Gan Assurances est un assureur généraliste qui propose aux particuliers, professionnels et entreprises une offre complète adaptée aux besoins en auto, habitation, santé, prévoyance, épargne, retraite, placements, garanties professionnelles. Au service de 1,4 million de clients, Gan Assurances constitue le 5e réseau français d'Agents généraux en France, grâce à ses 830 Agents généraux et 2100 collaborateurs d'agence, soutenus par 1650 salariés répartis sur…",,,permanent,2025-04-17T19:45:24Z,https://www.adzuna.fr/land/ad/5150126360?se=Ij5T9C4e8BGla2k9OSZXLA&utm_medium=api&utm_source=e1ad5111&v=BCEA0427BEA53F9CDCFC23E0F7365D8E2E07B0B4,Unknown,fr,genie_civil_btp
