title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Lead Machine Learning Researcher,Skills Alliance,"London, UK","Develop novel cell embeddings that integrate multi-omics foundation models— transcriptomics, proteomics, epigenomics, and metabolomics—to capture comprehensive cellular signatures. Your work will enable precise predictions of drug effects, driving innovation in drug discovery. Key Responsibilities: • Model Development: Design deep learning models integrating diverse omics data to create robust cell embeddings for digital twin technology. • Multi-Omics Integration: Develop and refine foundation …",51979.88,51979.88,,2025-04-30T15:56:26Z,https://www.adzuna.co.uk/jobs/land/ad/5170682821?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=CEE896447A95BEF66FE0D218FF48B9E3FA320652,Scientific & QA Jobs,machine learning,gb,machine learning,standard,False,False
Quantitative Researcher (Machine Learning),Vertical Markets Group Ltd,"London, UK","A tenured PM within a well-established global multi-strategy hedge fund is seeking to add a junior quantitative researcher to his systematic global macro team, based out of London. Working alongside another researcher, the successful hire will be expected to apply ML/data science research techniques to analyse large data sets and contribute to the team trading strategy. Background: Top-tier educational background in a relevant STEM discipline (masters or PhD level) 0-2 years experience of condu…",39869.53,39869.53,,2025-04-30T15:56:46Z,https://www.adzuna.co.uk/jobs/land/ad/5170685117?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=A912041E3C0B69F65F62F9C0EBD1E9BAC2887673,Accounting & Finance Jobs,machine learning,gb,machine learning,standard,False,True
Senior Machine Learning Engineer,Synthesized,"London, UK","About Us Synthesized is transforming how the world tests software with AI. Trusted by global leaders like Deutsche Bank, UBS, and the European Commission, our AI-powered platform enables teams to generate high-quality test data and test cases in seconds—slashing costs, accelerating delivery, and eliminating reliance on production data. We're a VC-backed company supported by top investors. With strong traction across financial services, healthtech, and telecom, and a $90B market in sight, we're…",52463.26,52463.26,,2025-04-24T04:54:00Z,https://www.adzuna.co.uk/jobs/land/ad/5159479835?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=3B604B91C28D5D3E7EE0E1172BB1627EA27C8234,IT Jobs,machine learning,gb,machine learning,standard,False,True
Machine Learning Research Engineer,Knauf Energy Solutions,"London, UK","Would you thrive in a fast-scaling business, solving novel problems in collaborative teams? Are you interested in developing machine learning products from conception to deployment? If so, you could be the person we are searching for. We are an IoT innovator working to scale our product deployments across the UK and EU. We are passionate about developing technology that will change paradigms and contribute to a sustainable future. We are building Virtual Energy Infrastructure using our world-le…",64072.34,64072.34,,2025-04-02T16:16:31Z,https://www.adzuna.co.uk/jobs/land/ad/5124366507?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=F701A777A0887A31291A4BEBB7CB43190533130F,IT Jobs,machine learning,gb,machine learning,standard,True,False
Senior Machine Learning Engineer,trg.recruitment,"London, UK",Senior Machine Learning Engineer  Industry: Insurtech  Company size: Approximately 200 employees  Working environment: Hybrid (2 days a week in Central London)  Salary: Up to £110K based on experience  bonus Are you passionate about building innovative technology solutions using cutting-edge AI? Do you want to play a critical role in shaping products that can make a meaningful impact on people's lives? We're looking for an experienced Senior Machine Learning Engineer to join an exciting team th…,67571.73,67571.73,,2025-04-06T08:53:27Z,https://www.adzuna.co.uk/jobs/land/ad/5132199807?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=3130AFCDEC057987BE174A75D2DD9BE2C9503F71,IT Jobs,machine learning,gb,machine learning,standard,False,False
Machine Learning Engineer - C++,Harnham,"London, UK","Job Title: Machine Learning Engineer Location: London 1-2 days a week Salary: £90,000-£110,000  15% bonus Visa Sponsorship: Is on offer for strong candidates About the Role My client is hiring a Machine Learning Engineer to join a small but impactful team at the intersection of deep learning, computer vision, and real-time 3D systems . This is a chance to push the boundaries of digital human performance, runtime tracking, and facial capture—projects that directly power high-end experiences. You…",48836.64,48836.64,,2025-04-26T04:30:31Z,https://www.adzuna.co.uk/jobs/land/ad/5163394111?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=D5E3670EF1CBB34DB77D0C9975F03E3E59D3ED71,IT Jobs,machine learning,gb,machine learning,standard,False,False
Senior Machine Learning Engineer,Condukt,"London, UK","About Us We are a business identity platform that enables the onboarding of businesses of any size easily and instantly. Our products create trust for financial service providers (our customers) to seamlessly verify, onboard, and monitor businesses (their clients). Position Overview We are looking for a Senior Machine Learning Engineer (Natural Language Processing) to join our team. You will be an early shaper of the design and architecture of the core AI technology powering the product, and wo…",57935.57,57935.57,,2025-05-02T08:13:51Z,https://www.adzuna.co.uk/jobs/land/ad/5175661456?se=OgXKte4o8BGT4w9x5LWCew&utm_medium=api&utm_source=e1ad5111&v=B743A91548A9C8951BFCC627069E51274AC249DD,IT Jobs,machine learning,gb,machine learning,standard,False,False
Senior Machine Learning Engineer,Edison Smart®,"London, UK","Senor/Principal AI/ML Engineer – Biotech Salary: £80,000 - £120,000 Location: London/Remote A cutting-edge Biotech company are looking for a Senior/Principal AI Engineer to join their R&D team developing novel data solutions for Biotech applications like Oncology, Pathology & RNA-Seq. Key Responsibilities: Collaborate with scientists, engineers, and product teams to build and scale AI/ML models. Take projects from prototype to production-ready software. Create tools for training, testing, and o…",61759.2,61759.2,,2025-04-26T04:30:04Z,https://www.adzuna.co.uk/jobs/land/ad/5163393935?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=758236E011760002B4007C8691ABE2B77A884870,IT Jobs,machine learning,gb,machine learning,standard,True,False
Senior Machine Learning Engineer,Arrows,"London, UK","Senior Machine Learning Engineer London (Hybrid) Very Competitive Salary, Bonus, Equity Our client, an innovative and rapidly expanding scale-up looking for a talented Machine Learning Engineer to join their team in London. This is an exciting opportunity to work on transformative AI-driven products in a dynamic environment backed by significant investment. Key Responsibilities: Develop and deploy machine learning models for real-world applications. Collaborate with cross-functional teams to de…",53154.93,53154.93,,2025-04-28T03:41:58Z,https://www.adzuna.co.uk/jobs/land/ad/5166326312?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=85D5FB8245AC97C83971FC615A48188ABB710D0F,Scientific & QA Jobs,machine learning,gb,machine learning,standard,False,False
Engineering Lead - Machine Learning Platform,Wise,"London, UK","Company Description Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description Enter: ou…",55608.65,55608.65,,2025-04-22T14:49:48Z,https://www.adzuna.co.uk/jobs/land/ad/5156196709?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=561E237E7870AB287763FDCC4368A5F74481F80B,IT Jobs,machine learning,gb,machine learning,standard,False,True
Senior Director Artificial Intelligence/Machine Learning,GlaxoSmithKline,"London, UK","Site Name: London The Stanley Building Posted Date: Mar 31 2025 At GSK we see a world in which advanced applications of machine learning and AI will allow us to develop novel therapies to existing diseases and to quickly respond to emerging or changing diseases with personalized drugs, driving better outcomes at reduced cost with fewer side effects. It is an ambitious vision that will require the development of products and solutions at the cutting edge of machine learning and AI. If that excit…",64235.21,64235.21,,2025-04-19T00:43:52Z,https://www.adzuna.co.uk/jobs/land/ad/5152480109?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=FB8553391BE262741693594729020230C4F84E26,IT Jobs,machine learning,gb,machine learning,standard,False,False
Computer Vision/Machine Learning,microTECH Global LTD,"Egham, Surrey","you will: Explore and experiment with emerging technologies to continuously improve our AI-driven content reconstruction, creation and edition processes. Review the state of the art computer vision research papers and develop prototype solutions. Develop cutting-edge software and algorithms for computer vision, image processing and deep learning modelsHave technical responsibility for one or more significant sections of the assigned project Translate complex functional and technical requirement…",153920,156000,contract,2025-04-28T11:51:32Z,https://www.adzuna.co.uk/jobs/land/ad/5166592726?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=24E5D78F782BF59EF253981A647CAFDA2678811F,IT Jobs,machine learning,gb,machine learning,standard,False,False
"Software Engineer (Full Stack, Machine Learning)",Darktrace,"Cambridge, Cambridgeshire","Darktrace has more than 2,500 employees located globally. Founded by mathematicians and cyber defence experts in 2013, Darktrace is a global leader in cyber security AI, delivering complete AI-powered solutions in its mission to free the world of cyber disruption. For over a decade, Darktrace has pioneered a proactive, AI-native approach to security. Our roots lie deep in innovation. The Darktrace AI Research Centre based in Cambridge, UK, has conducted research establishing new thresholds in c…",49299.25,49299.25,,2025-03-19T13:33:12Z,https://www.adzuna.co.uk/jobs/land/ad/5101134954?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=17E4C37B09C0A1CAB5FA76FAF69BEB700C7DEE13,IT Jobs,machine learning,gb,machine learning,standard,False,True
Head of Machine Learning - 3D Graphics,Harnham,"London, UK","Head of Machine Learning Salary: £110,000-£130,000  equity/benefits Location: London - 5 days a week in office, can then become hybrid post probation Manage and lead a dynamic team of Machine Learning Engineers working on high-impact, machine learning models in the 3D graphics and VFX space. ROLE AND RESPONSIBILITIES Working closely within a small team of 5, to build and scale ML models focusing on rendering and 3D graphic design Working alongside technical and non-technical stakeholders Drivin…",60593.9,60593.9,,2025-04-02T16:16:54Z,https://www.adzuna.co.uk/jobs/land/ad/5124368155?se=VEvHt-4o8BGDGO_HSiZXLA&utm_medium=api&utm_source=e1ad5111&v=04CF669CD4BA3F5ED9908813614C9D362699D811,IT Jobs,machine learning,gb,machine learning,standard,False,False
