title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty
Marketing Officer,Ad Warrior,"Cirencester, Gloucestershire","Marketing Officer Salary : Grade 6 - £28,759 to £33,965 per annum depending on experience Hours : Permanent full-time (35 hours per week) Location : Cirencester, GL7 6JS Flexible working options considered Closing date: 23rd April 2025 The Royal Agricultural University RAU has been at the forefront of agricultural education for 180 years and is globally renowned for its links with industry and courses that are designed to meet the demands of the changing land-based sector. The Marketing Officer…",30000,30000,permanent,2025-04-03T17:46:53Z,https://www.adzuna.co.uk/jobs/details/5127023858?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,Wise Employment,"Huxham, Exeter","Marketing Executive – Join a Growing Business Hybrid or Remote | Part-Time (3 Days/Week 22.5 hours) | £26 - 37,500k FTE, Pro rata, DOE | Exeter-Based Preferred Are you a creative marketing powerhouse with a passion for digital campaigns, content creation, and brand growth? Do you thrive in a dynamic environment where every day brings new challenges? If so, this is the role for you We're on the lookout for a Marketing Executive to help drive our Client's brand forward. Whether you're looking for…",35000,35000,permanent,2025-03-25T20:33:45Z,https://www.adzuna.co.uk/jobs/details/5111264067?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Officer,Brighton College,"Brighton, East Sussex","Marketing Officer (Social Media) Location: Brighton Salary: in the range of £29,000-£33,000 per annum will be offered to reflect the individuals skills and experience. Pro-rata'd depending on the agreed working weeks. Brighton College are seeking to appoint a Marketing Officer (Social Media) to join the Marketing team. Main Purpose of the Role : We are looking for a passionate and enthusiastic individual to join our dynamic Marketing Team. The successful candidate will be responsible for creati…",30000,30000,permanent,2025-04-16T18:19:42Z,https://www.adzuna.co.uk/jobs/details/5147571847?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Coordinator,OnlyFE,"Blackburn, Lancashire","Marketing Coordinator £23,623 - £25,657 gross per annum Make a difference. Be part of the story. Apply today Are you searching for a role where you can make a real impact, grow your skills, and be part of something truly special? At Blackburn College, were shaping futures and transforming lives, and were looking for passionate, driven individuals to join our brilliant marketing and communications team. This is a fantastic opportunity to step into a dynamic, forward-thinking environment where yo…",24000,24000,permanent,2025-03-28T20:29:04Z,https://www.adzuna.co.uk/jobs/details/5116671701?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
HR Manager - Marketing,MCS Group,UK,"Group HR Manager - Marketing - Holywood Are you a HR Manager looking for an exciting new role, or an HR Officer ready to take the next step in your career? This could be the opportunity for you MCS Group are excited to be partnering with a leading local marketing company, recruiting for a Group HR Manager to join their dynamic team. Overview As Group HR Manager you will be responsible for HR functions across multiple pillars, ensuring all processes are aligned with group strategies. The HR Mana…",40000,40000,,2025-04-09T07:40:32Z,https://www.adzuna.co.uk/jobs/land/ad/5136893985?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4529E44C4A3571A897918D743A64AEC3831F3727,HR & Recruitment Jobs,marketing
Marketing Manager,Anthem Consulting,"London, UK","Marketing Manager role in a popular international law firm. Leading on campaigns and content. London with hybrid working. Salary up to £75,000. This international law firm, with a strong focus in the tech and life science sectors, is looking for a Marketing Manager to join the team. The role will support: Marketing strategy for practices and sectors Campaign management; Content development and brand best practice; Reporting and analytics for marketing initiatives. The role will work closely wit…",59494.43,59494.43,,2025-04-18T08:31:34Z,https://www.adzuna.co.uk/jobs/land/ad/5151249574?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=CD80279126D55D9F9A9C87AFCAB9E92F7FA027E1,"PR, Advertising & Marketing Jobs",marketing
"Marketing, Advertising and PR Internships",Beyond Academy,"Ireland, Shefford","Learn Better | Travel Further | Dream Bigger Beyond Academy is a Career Accelerator for future global citizens. Our Immersive Programs combine travel, work experience, cultural immersion, and thriving communities in the world's most incredible cities. Available in 14 global cities and 18 industries, our International Internship Programs offer you the unique opportunity to combine work and travel into an extraordinary adventure. Immersive Internship Program in Marketing, Advertising, PR Influenc…",24170.31,24170.31,contract,2025-04-05T04:46:15Z,https://www.adzuna.co.uk/jobs/land/ad/5130627645?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4003DC46A35AA46004F6ABA24C9A9AF9B5E5FB77,"PR, Advertising & Marketing Jobs",marketing
Marketing Executive,MANU FORTI,"London, UK","We are seeking a proactive and adaptable Marketing Executive to support digital and content marketing initiatives. This role involves managing social media, executing email campaigns, updating the website, and collaborating with internal teams. Key Responsibilities: Digital Marketing & Content Execution: Manage website updates (Umbraco CMS), schedule social media content (Hootsuite), and support digital marketing campaigns (PPC). Email Marketing: Execute campaigns using Emarsys (or similar plat…",29954.99,29954.99,permanent,2025-04-16T06:11:56Z,https://www.adzuna.co.uk/jobs/details/5146897453?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,WHEATLEY GROUP,"Glasgow, Scotland","Contract Duration: Permanent Salary: SCP 52-55 (£68,227 - £73,069) per annum Shift Pattern: 35 hours per week, Monday to Friday Are you interested in working for a values-driven organisation that makes a meaningful impact on people’s lives? Scotland’s leading housing, care, and property-management group has a rare and exciting opportunity for a Marketing Manager to join its award-winning Communications and Marketing team. About the role The Marketing Manager will be responsible for brand strate…",68227,73069,contract,2025-04-04T20:57:14Z,https://www.adzuna.co.uk/jobs/land/ad/5129860376?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=75CF9745B6389566D83E17C3C13090B5F69FB4B9,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,THE TALENT SET,"Lancashire, North West England","The Talent Set are delighted to be working with a fantastic college based in the Blackburn area to find their Marketing Manager. This role will require working on-site 5 days per week. Acting as one of the main points of contact for marketing across the College, you’ll foster collaboration with internal teams and external partners, ensuring marketing adds value at every level. You’ll also lead efforts to raise the profile of marketing across the organisation and ensure continuous evaluation of …",34000,35000,permanent,2025-04-18T11:24:03Z,https://www.adzuna.co.uk/jobs/details/5151458342?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Director,DENTSU,"London, UK","Job Description: Introduction Dentsu is an integrated growth and transformation partner to the world’s leading organizations. Founded in 1901 in Tokyo, Japan, and now present in over 145 countries and regions, it has a proven track record of nurturing and developing innovations, combining the talents of its global network of leadership brands to develop impactful and integrated growth solutions for clients. Dentsu delivers end-to-end experience transformation (EX) by integrating its services ac…",78858.45,78858.45,permanent,2025-04-16T03:13:21Z,https://www.adzuna.co.uk/jobs/details/5146750911?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,MANU FORTI,"London, UK","We are seeking an experienced B2B event marketer with a strong exhibitor and visitor acquisition background. This role involves hands-on campaign execution capabilities, especially across e-mail, website, digital and social media platforms, while contributing to the strategic planning for future campaigns. It's the opportunity to work on a £30M event with the best people and top resources. Key Responsibilities: Execute the 2025 Visitor Marketing Campaign – manage comms, drive registration, mana…",40133.17,40133.17,permanent,2025-04-15T23:08:19Z,https://www.adzuna.co.uk/jobs/details/5146547956?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Sales and Marketing Executive,Black Fox Solutions,"Craigavon, Northern Ireland","Sales & Marketing Executive, £25k to £35k - Craigavon We are working with a successful NI business who manufacture, source and supply a range of products to business and office spaces are UK & Ireland to recruit for their new Sales & Marketing Executive. Working in a dual customer focus and marketing role you will be responsible for; Working with customers, potential customers and suppliers to build and maintain relationships Executing the company's email marketing strategy; building subscriber…",35000,35000,,2025-03-26T05:53:00Z,https://www.adzuna.co.uk/jobs/land/ad/5111824781?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=C18604A0572CF280D8C8EF6FF312317FFCBE07F4,"PR, Advertising & Marketing Jobs",marketing
Senior Marketing Manager,ARC Regulatory Ltd,"Belfast, Northern Ireland","ARC's purpose is to expedite access to precision medicine clinical trials for patients globally. We fulfil our purpose through our dedicated team of experts with unparalleled domain knowledge, and the important relationships we have developed with our global clients. We are a Belfast-based Clinical Research Organisation that specialises in delivering compliance excellence for companies in the precision medicine sector. We support many of the world's leading pharmaceutical R&D companies in imple…",50000,50000,,2025-04-02T07:09:26Z,https://www.adzuna.co.uk/jobs/land/ad/5123613056?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=5A14D96FE635ACC4F47F59E7E50F46596269C580,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Royal Hospital Chelsea,"Chelsea, South West London","Are you a proactive and creative Marketeer with significant, demonstrable experience of drafting and delivering effective consumer marketing strategies for a visitor attraction or a high-profile organisation? The Royal Hospital Chelsea, home of the iconic Chelsea Pensioners since 1692, is seeking a Marketing Manager to help raise public awareness and support for the organisation, including increasing footfall to our year-round site tours and events programme, to help meet its core objectives. T…",40000,42500,,2025-04-17T18:21:54Z,https://www.adzuna.co.uk/jobs/land/ad/5149909394?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=43996BA54CB4A535740AE3BD164A635ACE442283,"PR, Advertising & Marketing Jobs",marketing
CRM and Data Marketing Manager,Ad Warrior,"Swindon, Wiltshire","CRM and Data Marketing Manager Location: Flexible working (3 days in office), Head office based in Swindon Salary: £45,000 - £55,000 per annum Key Responsibilities: Email Performance: Be responsible for the overall performance of the email marketing channel, through outreach email activity and nurturing using CRM. Campaign Management: Oversee, build out and manage the execution, and optimisation of Marketing Campaigns across multiple channels through the CRM system. Lead Nurturing: Develop and …",44277.91,44277.91,permanent,2025-03-28T20:06:22Z,https://www.adzuna.co.uk/jobs/details/5116608262?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Director,WebMD,"London, UK","Medscape, a division of WebMD, develops and hosts physician portals and related mobile applications that make it easier for physicians and healthcare professionals to access clinical reference sources, stay abreast of the latest clinical information, learn about new treatment options, earn continuing medical education credits and communicate with peers. WebMD is an Equal Opportunity/Affirmative Action employer and does not discriminate on the basis of race, ancestry, color, religion, sex, gende…",58535.48,58535.48,,2025-04-08T16:47:19Z,https://www.adzuna.co.uk/jobs/land/ad/5135536462?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=B5E78DAA9279A991CE81435573462F47289FCFCA,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Care UK,"Colchester, Essex","Are you committed to the development and delivery of marketing and ready to take the lead in shaping the future of care? Care UK is an awarding winning private care company with over 150 care homes across the United Kingdom. We are seeking an enthusiastic Marketing Manager to join our vibrant and dedicated team. At Care UK, we are committed to providing exceptional care to our residents and our values of Caring, Passionate and Teamwork are at the heart of all we do. Our success is built on the …",41167.34,41167.34,,2025-03-22T13:19:40Z,https://www.adzuna.co.uk/jobs/land/ad/5106564680?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=5D1947D8F97675E82ABD8054B5A960DA7BBEDA93,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Maples Group,"London, UK","Our distinction flows from our carefully curated team: 2,500 professionals characterised by tenacity, ethics and exacting excellence. Operating in key financial centres across the Americas, Asia, Europe and the Middle East, our international presence offers a unique springboard for career development and cross-cultural immersion. Our side-by-side financial and legal services are similarly ripe for interdisciplinary learning and growth. The Maples Group looks to add a London-based Marketing Mana…",57537.69,57537.69,,2025-03-14T12:57:58Z,https://www.adzuna.co.uk/jobs/land/ad/5093378836?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=8FD630EDC630FE46291F2AC96BE371EA3B6926CF,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,VML,"London, UK","Who We Are: At VML, we are a beacon of innovation and growth in an ever-evolving world. Our heritage is built upon a century of combined expertise, where creativity meets technology, and diverse perspectives ignite inspiration. With the merger of VMLY&R and Wunderman Thompson, we have forged a new path as a growth partner that is part creative agency, part consultancy, and part technology powerhouse. Our global family now encompasses over 30,000 employees across 150 offices in 64 markets, each …",64620.58,64620.58,permanent,2025-03-04T13:35:09Z,https://www.adzuna.co.uk/jobs/land/ad/5074258215?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=559A3A9DEFD7647FC969A8967F0F8FCFD10791A0,"PR, Advertising & Marketing Jobs",marketing
Bid Coordinator & Marketing Executive,CBW Staffing Solutions Ltd,"Bexley, Kent","Job Title: Bid Coordinator & Marketing Executive Location: London Borough of Bexley Hours: Monday to Friday, 8:00 AM 5:00 PM Employment Type: Full-Time, Permanent About the Role: We are seeking a proactive and detail-oriented Bid Coordinator & Marketing Executive to join our team in Bexley. This is a dual role ideal for someone with strong coordination skills and a flair for marketing, who enjoys working in a fast-paced, deadline-driven environment. You will play a key role in managing tender s…",30000,30000,permanent,2025-04-19T18:11:41Z,https://www.adzuna.co.uk/jobs/details/5153412766?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Exceptional Marketing Account Manager,Career Poster,"St. James, Bristol","Exceptional Marketing Account Manager Salary: £36,000 £45,000 annual reward (£35,000 £38,000 base salary, dependent on experience, plus bonus of £1,000 to £7,000 annually). Permanent, full-time position. Excellent prospects for progression within the company. Share options after 24 months. A healthy work-life balance with access to wellbeing resources including an employee assistance programme (EAP). 28 days holiday (plus Bank Holidays) with annual increases to a maximum of 31 days. Flexible an…",45000,45000,permanent,2025-04-19T18:11:40Z,https://www.adzuna.co.uk/jobs/details/5153412765?utm_medium=api&utm_source=e1ad5111,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Premier Estates,"Macclesfield, Cheshire","MARKETING MANAGER POSITION AT PREMIER ESTATES LOCATION Hybrid (Home /Office - 74 King Edward St, Macclesfield SK10 1AT) WORKING HOURS Monday to Friday 0900 1730 SALARY £40,000 - £45000 ( Dependant on experience) CONTRACT Full-time, Permanent ABOUT US Premier Estates is an award-winning managing agent that successfully maintains one of the largest and most diverse residential property portfolios in the UK. Our success is founded on the fundamental principal of effective communication and unsurpa…",35589.4,35589.4,permanent,2025-04-17T07:32:42Z,https://www.adzuna.co.uk/jobs/land/ad/5149125773?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=4321D178EBEE16E535952407A7CC1D6C8820EC55,"PR, Advertising & Marketing Jobs",marketing
Head of Marketing,Change Hospitality,"South West London, London","Head of Marketing Funky London Bar and Music Venue Group 45-55k plus bonus and great benefits My client is looking for someone to take full responsibility the marketing and communications of across its various venues. This includes, but is not limited to, social media, digital ads, websites, digital and print marketing materials, brand partnerships and PR. Working for this brand has great perks and a fantastic company culture. Manage all output across all social platforms and in-house marketing…",50000,50000,,2025-04-11T07:32:53Z,https://www.adzuna.co.uk/jobs/land/ad/5140222420?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=33760713140EB44D9B7E00E579AD52827342D099,"PR, Advertising & Marketing Jobs",marketing
Marketing Manager,Melia White House Hotel,"North West London, London","The world is yours with Meli Discover a boundless path at Meli, where opportunities for growth and development are endless. Immerse yourself in a journey that will take you to work in various countries and to be part of our extensive global family Salary from £40K up to £48K plus 10% Bonus MARKETING MANAGER UK Driving Iconic Brand Visibility Across Meli White House (London), INNSiDE Manchester, Liverpool & Newcastle Location : UK (Multi-City) Hotels : Meli White House | INNSiDE Manchester | INN…",40816.84,40816.84,,2025-04-15T08:05:50Z,https://www.adzuna.co.uk/jobs/land/ad/5145293783?se=sipbizEe8BG_XLfW0bWCew&utm_medium=api&utm_source=e1ad5111&v=EE6AAFB2AAD96AF90D8DB6A46F24BA083DB738A2,"PR, Advertising & Marketing Jobs",marketing
