title,company,location,description,salary_min,salary_max,contract_type,created,redirect_url,category,specialty,source_country,query,query_type,remote_friendly,international
Ingénieur.e travaux principal.e H/F,Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",52641.58,52641.58,,2025-03-23T22:19:32Z,https://www.adzuna.com/details/5108259791?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Ingénieur.e travaux principal.e H/F,Mobyclic,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",45382.69,45382.69,,2025-03-23T23:14:24Z,https://www.adzuna.com/details/5108296917?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Alternant Terrassier - Chauffeur D'engins H/F,SPIE,US,Informations générales Entité SPIE accompagne la transition énergétique et la transformation numérique. Notre ambition ? Développer un monde toujours plus smart et responsable grâce au savoir-faire reconnu d'une communauté de passionnés qui aiment se réinventer et transmettre. Des audacieux qui entreprennent chaque jour. Des professionnels qui se révèlent dans la diversité de leurs missions et de leurs métiers. Notre filiale SPIE CityNetworks met en place des solutions au service des citoyens e…,40712.34,40712.34,,2025-04-20T19:30:18Z,https://www.adzuna.com/details/5154804561?utm_medium=api&utm_source=e1ad5111,Consultancy Jobs,génie civil,us,génie civil,standard,False,False
Responsable travaux Multisites H/F,Mobyclic,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",42423.05,42423.05,,2025-03-23T22:35:47Z,https://www.adzuna.com/details/5108276413?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Responsable travaux H/F,Mobyclic,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",43693.96,43693.96,,2025-03-23T22:53:56Z,https://www.adzuna.com/details/5108283783?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Alternant Technicien Bureau d'Etudes H/F,SPIE,US,Informations générales Entité SPIE accompagne la transition énergétique et la transformation numérique. Notre ambition ? Développer un monde toujours plus smart et responsable grâce au savoir-faire reconnu d'une communauté de passionnés qui aiment se réinventer et transmettre. Des audacieux qui entreprennent chaque jour. Des professionnels qui se révèlent dans la diversité de leurs missions et de leurs métiers. Notre filiale SPIE CityNetworks met en place des solutions au service des citoyens e…,50135.52,50135.52,,2025-04-18T21:37:24Z,https://www.adzuna.com/details/5152576702?utm_medium=api&utm_source=e1ad5111,IT Jobs,génie civil,us,génie civil,standard,False,False
Responsable travaux Multisites H/F,Groupe Bouygues,"Metz, Vernon County","Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",47516.22,47516.22,,2025-03-23T19:33:05Z,https://www.adzuna.com/details/5108176756?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Conducteur(rice) travaux réhabilitation sociale, expérimenté(e) - Habitat Social",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",62780,62780,,2025-04-19T01:41:26Z,https://www.adzuna.com/details/5152794999?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Conducteur(rice) travaux réhabilitation sociale, expérimenté(e) - Habitat Social",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",70073.97,70073.97,,2025-04-17T23:07:47Z,https://www.adzuna.com/details/5150964709?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Responsable travaux Artois H/F,Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",44419.47,44419.47,,2025-03-28T22:41:59Z,https://www.adzuna.com/details/5117179175?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Stage - Conducteur(trice) de travaux H/F,Groupe Bouygues,"Paris, Washington County",Informations générales Référence Equans_67072 Date de parution 01/05/2025 Filière Métier Réf métier Bouygues SA - TRAVAUX Intitulé du poste Stage - Conducteur(trice) de travaux H/F Contrat Stage Temps de travail Temps complet Description de la mission Vous avez de l’énergie à transmettre ? Nous aussi… Nous recrutons dans le cadre de nos activités en Aéroportuaire. Nous intervenons sur des projets de travaux et maintenance pour différents aéroports civils et bases militaires en France. Nous réal…,53210.93,53210.93,,2025-03-03T18:58:58Z,https://www.adzuna.com/details/5072832621?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Ingénieur(e) travaux confirmé(e) ouvrages d'arts Est H/F,Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",56895.94,56895.94,,2025-03-23T20:47:06Z,https://www.adzuna.com/details/5108216771?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Ingénieur en bâtiments,DGRH,US,"Informations générales Référence 2023-520 Structure d'emploi SMG Libellé du poste Ingénieur en bâtiments Métier Construction et maintenance des bâtiments - Chef de projet bâtiments Fonction Chargé de mission Filière Filière Technique Finalité / Descriptif synthétique L'ingénieur détermine les programmes pour les études de faisabilité des projets de bâtiments, propose et met en œuvre la programmation d'études, de travaux et de maintenance. Il organise et coordonne aux plans techniques, administr…",49715.34,49715.34,,2025-03-22T23:15:02Z,https://www.adzuna.com/details/5107221825?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Responsable travaux confirmé(e), Patron(ne) de chantier Habitat/TCE H/F",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",63984.9,63984.9,,2025-03-23T20:41:10Z,https://www.adzuna.com/details/5108213375?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Responsable travaux confirmé(e), Patron(ne) de chantier Habitat/TCE H/F",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",57323.49,57323.49,,2025-03-23T19:34:56Z,https://www.adzuna.com/details/5108177144?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
Architecte d'affaires,TEHORA,"Remote, Coos County","TEHORA est présentement à la recherche d’un(e) Architecte d’affaires ayant d’excellentes aptitudes techniques, d’excellentes connaissances et qui souhaite mettre à profit ses compétences au sein d’une équipe polyvalente. Sans être exhaustifs, voici les services et livrables que devront fournir la personne retenue. Description des travaux ou des biens livrables : Agir en tant qu’expert-conseil auprès du client et de l’équipe projet; Procéder à des études de faisabilité dans un contexte de transf…",52634.65,52634.65,,2023-02-23T00:12:36Z,https://www.adzuna.com/details/3938867522?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Responsable travaux réhabilitation en sites occupés (93, 95) H/F",Groupe Bouygues,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",65014.84,65014.84,,2025-03-23T22:23:54Z,https://www.adzuna.com/details/5108261451?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Responsable travaux réhabilitation en sites occupés (93, 95) H/F",Mobyclic,US,"Informations générales Entité de rattachement Avec 32 400 collaborateurs intervenant dans 60 pays, Bouygues Construction conçoit, réalise, et réhabilite les infrastructures et les bâtiments essentiels pour une société durable. Partout dans le monde, les équipes accompagnent le développement des infrastructures de productions d'énergies et de transports publics bas carbone et apportent leur expertise dans la conception, la construction et la réhabilitation des bâtiments et quartiers essentiels à…",58265.59,58265.59,,2025-03-25T19:53:13Z,https://www.adzuna.com/details/5111398293?utm_medium=api&utm_source=e1ad5111,Trade & Construction Jobs,génie civil,us,génie civil,standard,False,False
"Sr. Technical Content Developer, Civil Engineering & Design",Autodesk,"Portland, Multnomah County","Job Requisition ID  25WD86569 French job description to follow/La description de poste en français se trouve plus bas Position Overview As a Sr. Technical Content Developer, Civil Engineering & Design at Autodesk, you will play a crucial role in the Content Strategy & Experience team within Customer Technical Success (CTS). You will ensure high-quality product expertise is delivered to customers as they learn, adopt, and use Autodesk's platform through impactful content experiences. In this rol…",92068.43,92068.43,,2025-04-10T11:56:22Z,https://www.adzuna.com/details/5138930886?utm_medium=api&utm_source=e1ad5111,IT Jobs,génie civil,us,génie civil,standard,False,False
Superviseur Génie Civil F/H,Orano Group,"La Hague, Manche","Recyclage, une technologie qui s'exporte Avec le recyclage, Orano récupère les matières valorisables (uranium et plutonium) des combustibles usés pour les réutiliser dans de nouveaux combustibles, comme le MOX, et donc dans les réacteurs nucléaires. Grâce aux technologies d'Orano, 96 %",,,permanent,2025-05-04T00:05:36Z,https://www.adzuna.fr/land/ad/5179464172?se=Aor_DfEo8BGFil_oKXcHCQ&utm_medium=api&utm_source=e1ad5111&v=0B02FC5877362AA71A9F8602347A019F0595DC1C,Emplois Industrie et Construction,génie civil,fr,génie civil,standard,False,False
